player_hcp_spade,player_hcp_heart,player_hcp_diamond,player_hcp_club,partner_hcp_spade,partner_hcp_heart,partner_hcp_diamond,partner_hcp_club,total_hcp,total_num_spade,total_num_heart,total_num_diamond,total_num_club,player_balance,partner_balance,total_stop_spade,total_stop_heart,total_stop_diamond,total_stop_club,vulnerability,dealer_N,dealer_E,dealer_S,dealer_W,ns_best_fit,ns_best_major_fit,bid_00,bid_01,bid_02,bid_03,bid_04,bid_05,bid_06,bid_07,bid_08,bid_09,bid_10,bid_11,bid_12,bid_13,bid_14,bid_15,bid_16,bid_17,bid_18,bid_19,bid_20,bid_21,bid_22,bid_23,bid_24,bid_25,bid_26,bid_27,bid_28,bid_29,bid_30,bid_31,bid_32,bid_33,bid_34,bid_35,bid_36,bid_37,bid_38,bid_39,bid_40,bid_41,bid_42,bid_43,bid_44,bid_45,bid_46,bid_47,bid_48,bid_49,bid_50,bid_51,bid_52,bid_53,bid_54,bid_55,bid_56,bid_57,bid_58,bid_59,bid_60,bid_61,bid_62,bid_63,bid_64,bid_65,bid_66,bid_67,bid_68,bid_69,bid_70,bid_71,source_file,room,board_number,final_contract,tricks_claimed,bidding_sequence
3,0,0,0,1,6,3,1,14,6,6,8,6,0,0,3,3,2,2,4,1,0,0,0,8,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85168.lin,open,13,3NT,8.0,PASS PASS 1D 1NT PASS 2C PASS 2D! PASS 2NT PASS 3NT PASS PASS PASS
3,0,0,0,1,6,3,1,14,6,6,8,6,0,0,3,3,2,2,4,1,0,0,0,8,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85168.lin,closed,13,3NT,,PASS PASS 1D 1NT PASS 2C! PASS 2D PASS 3NT PASS PASS PASS
3,3,0,2,4,5,4,0,21,10,6,7,3,0,3,3,3,3,2,1,0,1,0,0,10,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85168.lin,open,14,5C,11.0,1C 1S X 2NT PASS 4S 5C PASS PASS X PASS PASS PASS
3,3,0,2,4,5,4,0,21,10,6,7,3,0,3,3,3,3,2,1,0,1,0,0,10,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85168.lin,closed,14,5C,11.0,1C 1S X 2C! PASS 4S 5C PASS PASS X PASS PASS PASS
4,3,0,2,0,1,0,5,15,8,6,5,7,0,0,3,3,0,3,2,0,0,1,0,8,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85168.lin,open,15,3NT,8.0,PASS PASS PASS 1NT PASS 3NT PASS PASS PASS
4,3,0,2,0,1,0,5,15,8,6,5,7,0,0,3,3,0,3,2,0,0,1,0,8,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85168.lin,closed,15,3NT,,PASS PASS PASS 1NT PASS 3NT PASS PASS PASS
5,0,0,1,1,4,2,2,15,8,7,4,7,0,0,3,3,2,2,3,0,0,0,1,8,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85168.lin,open,16,3NT,,1D 1S 2S! 3S PASS PASS 3NT PASS PASS PASS
5,0,0,1,1,4,2,2,15,8,7,4,7,0,0,3,3,2,2,3,0,0,0,1,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85168.lin,closed,16,3NT,9.0,1D 2D! X 3H! X 3S 3NT PASS PASS PASS
1,0,0,0,2,3,6,1,13,7,8,7,4,3,0,2,3,3,2,1,1,0,0,0,8,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85168.lin,open,17,3NT,10.0,PASS PASS 1D 2C PASS 2D! PASS 2S PASS 3NT PASS PASS PASS
1,0,0,0,2,3,6,1,13,7,8,7,4,3,0,2,3,3,2,1,1,0,0,0,8,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85168.lin,closed,17,3NT,9.0,PASS 1C 1D 1H! PASS 1NT PASS 3NT PASS PASS PASS
